recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,ID
249,336.774,39.727,20.042,0.013,0.702,0.019,20296.02
250,343.124,41.248,23.133,0.096,1.12,0.114,20296.03
251,331.602,36.851,24.807,0.21,1.585,0.229,20296.04
252,447.913,32.684,22.502,0.059,0.899,0.08,20299.0
253,449.358,38.072,22.521,0.149,1.081,0.225,20299.01
254,447.117,40.621,23.264,0.079,0.979,0.108,20299.02
255,482.057,33.281,24.268,0.151,1.225,0.245,20300.0
256,395.019,34.08,23.343,0.177,1.218,0.197,20303.0
257,391.998,35.783,20.187,0.018,0.697,0.024,20303.01
258,386.35,37.035,20.764,0.016,0.704,0.027,20303.02
259,392.43,42.041,22.317,0.039,0.899,0.056,20303.03
260,381.111,36.9,20.308,0.021,0.679,0.03,20303.04
261,395.369,42.703,22.878,0.078,1.01,0.101,20303.05
262,395.434,44.67,22.154,0.069,0.89,0.09,20303.06
263,463.945,33.465,20.902,0.035,0.771,0.037,20304.0
264,464.077,38.703,22.197,0.066,0.96,0.157,20304.01
265,465.253,42.19,21.91,0.039,0.909,0.133,20304.02
266,472.061,42.102,18.932,0.018,0.929,0.03,20304.03
267,462.97,47.932,20.93,0.027,0.752,0.03,20304.04
268,475.712,34.099,21.504,0.016,0.711,0.131,20305.0
269,535.681,33.882,22.42,0.038,0.91,0.069,20306.0
270,617.495,33.698,21.65,0.011,0.799,0.024,20307.0
271,615.914,38.05,23.178,0.096,1.198,0.101,20307.01
272,25.427,35.472,21.046,0.022,0.737,0.046,20309.0
273,315.286,34.815,22.085,0.018,0.778,0.199,20313.0
274,526.355,35.284,23.481,0.058,1.168,0.076,20315.0
275,691.669,34.894,22.915,0.089,1.032,0.103,20318.0
276,718.348,35.25,23.313,0.124,0.978,0.388,20319.0
277,43.476,37.049,21.98,0.074,0.839,0.096,20325.0
278,43.408,40.339,22.042,0.093,0.865,0.119,20325.01
279,42.904,44.478,21.632,0.063,0.81,0.074,20325.02
280,40.522,45.568,21.755,0.101,0.794,0.103,20325.03
281,35.656,46.467,22.267,0.128,0.927,0.142,20325.05
282,164.062,36.764,22.488,0.061,0.926,0.074,20326.0
283,199.154,42.909,22.988,0.031,0.992,0.067,20327.02
284,257.134,37.062,21.172,0.015,0.73,0.024,20328.0
285,254.251,40.877,23.664,0.055,1.177,0.06,20328.01
286,668.178,37.4,23.184,0.116,1.043,0.196,20335.0
287,176.134,38.261,22.385,0.047,0.848,0.129,20339.0
288,233.821,38.175,23.714,0.07,1.098,0.157,20340.0
289,285.916,38.32,22.922,0.097,1.02,0.127,20344.0
290,284.311,42.926,21.198,0.035,0.749,0.057,20344.01
291,280.274,44.006,24.657,0.061,1.216,0.29,20344.02
292,283.914,47.385,21.739,0.062,0.797,0.07,20344.03
293,400.728,38.968,22.665,0.032,0.907,0.044,20345.0
294,403.907,38.713,23.455,0.029,1.154,0.114,20345.01
295,593.036,38.937,20.436,0.016,0.685,0.032,20348.0
296,596.133,41.305,24.022,0.176,1.283,0.221,20348.01
297,600.174,42.156,23.688,0.139,1.141,0.185,20348.02
298,603.341,45.936,21.255,0.035,0.757,0.041,20348.03
299,605.964,46.435,23.5,0.219,2.523,0.222,20348.04
300,227.113,39.961,23.196,0.098,1.048,0.117,20351.0
301,415.493,40.286,23.274,0.108,0.747,0.119,20353.0
302,495.624,40.04,24.225,0.091,1.304,0.123,20354.0
303,720.806,39.751,22.542,0.071,0.853,0.301,20356.0
304,718.345,41.118,20.808,0.017,0.703,0.085,20356.01
305,191.409,41.373,23.438,0.101,1.025,0.319,20357.0
306,273.444,40.689,22.474,0.07,1.012,0.082,20359.0
307,672.846,40.925,23.646,0.143,1.241,0.159,20364.0
308,672.565,44.928,23.141,0.11,1.004,0.133,20364.01
309,71.567,41.778,20.212,0.01,0.694,0.026,20366.0
310,135.812,42.211,22.291,0.049,0.903,0.072,20368.0
311,307.856,41.827,24.018,0.178,1.252,0.184,20369.0
312,103.942,43.086,23.744,0.087,1.149,0.182,20375.0
313,206.36,42.81,19.931,0.014,0.713,0.019,20377.0
314,208.376,39.569,23.11,0.033,1.214,0.063,20377.01
315,418.771,43.051,22.738,0.015,1.004,0.062,20380.0
316,415.296,45.104,23.021,0.104,1.011,0.12,20380.01
317,161.146,43.99,21.837,0.034,0.812,0.056,20383.0
318,156.355,46.018,22.752,0.018,1.0,0.122,20383.01
319,219.791,44.088,23.798,0.144,1.157,0.16,20384.0
320,224.137,45.709,21.502,0.035,0.878,0.046,20384.01
321,227.204,50.763,20.97,0.015,0.769,0.018,20384.02
322,299.639,43.671,20.864,0.019,0.722,0.026,20386.0
323,363.737,43.974,23.467,0.047,1.022,0.11,20387.0
324,584.651,43.793,22.118,0.055,0.83,0.075,20388.0
325,318.883,49.537,22.179,0.035,0.866,0.083,20390.0
326,119.976,45.942,19.824,0.014,0.699,0.03,20397.0
327,191.978,46.144,24.29,0.117,1.414,0.127,20400.0
328,379.816,46.338,24.13,0.134,1.157,0.252,20402.0
329,432.225,45.571,24.543,0.31,1.164,0.365,20403.0
330,437.025,46.145,24.429,0.069,1.231,0.078,20404.0
331,18.572,47.461,22.884,0.032,0.911,0.157,20408.0
332,24.134,51.021,20.682,0.024,0.688,0.052,20408.01
333,18.496,52.046,21.124,0.023,0.78,0.057,20408.02
334,20.27,54.99,23.866,0.178,1.171,0.293,20408.03
335,22.991,58.306,24.358,0.179,1.18,0.328,20408.04
336,27.138,57.03,22.804,0.059,0.96,0.154,20408.05
337,444.225,46.875,22.53,0.048,0.849,0.098,20413.0
338,447.443,49.31,21.548,0.027,0.845,0.057,20413.01
339,168.384,48.31,22.105,0.05,0.882,0.077,20416.0
340,170.972,48.723,23.621,0.039,1.48,0.091,20416.01
341,538.978,48.31,20.24,0.066,0.709,0.072,20419.0
342,655.489,48.164,23.431,0.124,1.213,0.157,20420.0
343,682.885,52.514,18.826,0.01,0.916,0.015,20421.01
344,680.759,58.736,21.502,0.017,0.816,0.032,20421.02
345,687.457,41.28,24.405,0.176,1.098,0.228,20421.04
346,676.393,37.26,25.654,0.216,1.467,0.245,20421.06
347,47.165,48.751,23.108,0.049,1.069,0.096,20422.0
348,64.002,49.497,23.162,0.072,0.909,0.191,20423.0
349,259.266,49.404,22.838,0.092,0.969,0.101,20425.0
350,259.408,51.997,22.135,0.031,0.86,0.05,20425.01
351,257.312,52.753,23.222,0.142,1.04,0.155,20425.02
352,254.272,53.344,22.837,0.047,0.976,0.07,20425.03
353,375.1,49.29,22.783,0.049,0.935,0.06,20426.0
354,369.898,51.241,21.085,0.038,0.746,0.061,20426.01
355,368.014,51.812,20.638,0.033,0.739,0.038,20426.02
356,375.46,53.879,24.355,0.261,1.243,0.274,20426.03
357,364.537,56.508,20.353,0.013,0.701,0.027,20426.04
358,362.532,52.114,21.085,0.025,0.748,0.033,20426.05
359,511.522,48.766,22.885,0.078,1.113,0.358,20428.0
360,162.143,49.873,23.928,0.186,1.18,0.227,20432.0
361,313.062,49.95,23.434,0.097,1.11,0.118,20433.0
362,315.835,52.61,21.55,0.055,0.859,0.071,20433.01
363,312.37,55.505,23.166,0.17,1.69,0.207,20433.02
364,403.64,49.776,20.488,0.023,0.723,0.032,20435.0
365,78.041,51.405,19.953,0.015,0.701,0.017,20438.0
366,95.833,50.867,20.583,0.018,0.722,0.04,20439.0
367,180.4,51.085,24.203,0.211,2.087,0.269,20440.0
368,354.867,51.161,23.435,0.074,1.1,0.104,20443.0
369,352.837,51.953,21.936,0.045,0.922,0.057,20443.01
370,393.3,51.184,22.915,0.534,0.927,0.535,20445.0
371,414.184,51.275,23.724,0.163,1.309,0.177,20446.0
372,486.207,52.399,24.306,0.161,1.289,0.193,20454.0
373,420.165,52.629,22.326,0.083,0.929,0.087,20458.0
374,421.005,58.157,21.623,0.036,0.837,0.05,20458.01
375,520.339,52.835,24.419,0.145,1.325,0.181,20459.0
376,561.148,52.997,22.196,0.042,0.812,0.134,20460.0
377,60.353,53.931,22.421,0.051,0.967,0.07,20463.0
378,241.923,53.526,20.942,0.013,0.788,0.042,20465.0
379,241.952,56.562,20.15,0.013,0.701,0.018,20465.01
380,529.224,53.651,23.457,0.099,1.118,0.11,20468.0
381,608.784,53.606,24.03,0.143,1.248,0.193,20469.0
382,744.376,53.702,23.523,0.093,1.115,0.118,20470.0
383,114.955,59.253,23.087,0.08,0.994,0.126,20472.01
384,115.557,61.806,21.234,0.035,0.737,0.045,20472.02
385,118.761,57.595,22.873,0.048,0.942,0.13,20472.03
386,111.519,65.971,23.299,0.06,0.998,0.137,20472.04
387,134.904,55.034,22.482,0.035,0.846,0.056,20473.0
388,205.298,54.816,24.314,0.155,1.383,0.188,20474.0
389,205.129,59.966,19.547,0.012,0.773,0.016,20474.01
390,201.569,63.319,23.287,0.107,1.064,0.121,20474.02
391,203.248,57.946,22.629,0.063,1.056,0.11,20474.03
392,264.81,55.354,21.323,0.048,0.814,0.052,20475.0
393,480.283,54.676,23.904,0.189,1.28,0.209,20478.0
394,462.066,55.59,22.865,0.056,0.94,0.072,20479.0
395,615.542,55.83,21.97,0.061,0.881,0.074,20480.0
396,629.926,58.894,24.55,0.237,1.395,0.267,20481.01
397,143.132,56.706,23.612,0.115,1.025,0.275,20484.0
398,399.052,56.572,23.997,0.163,1.394,0.176,20488.0
399,497.387,57.038,21.49,0.005,0.873,0.277,20491.0
400,505.184,58.501,19.52,0.012,0.767,0.015,20491.01
401,545.51,56.82,22.671,0.146,0.989,0.156,20492.0
402,586.909,57.381,23.534,0.157,1.296,0.162,20493.0
403,587.822,62.044,22.488,0.073,0.923,0.084,20493.01
404,584.106,62.877,22.277,0.054,0.815,0.076,20493.02
405,710.734,56.957,23.411,0.129,1.047,0.16,20494.0
406,104.921,58.266,23.162,0.026,1.032,0.092,20496.0
407,248.747,57.785,23.258,0.079,1.101,0.106,20498.0
408,250.985,61.262,24.048,0.086,1.441,0.128,20498.01
409,353.127,57.548,22.011,0.045,0.899,0.047,20501.0
