recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,B-V,e_B-V,ID
191,417.792,440.951,18.632,0.007,1.074,0.011,0.92,0.011,2013.0
192,445.714,442.359,19.78,0.015,0.753,0.024,0.532,0.021,2015.0
193,738.249,443.574,21.503,0.033,0.866,0.05,0.63,0.045,2023.0
194,699.894,443.494,21.32,0.044,0.832,0.063,0.55,0.084,2024.0
195,535.689,444.488,21.226,0.055,1.009,0.067,0.674,0.082,2029.0
196,708.571,444.901,21.748,0.045,0.983,0.064,0.785,0.07,2030.0
197,668.328,445.328,20.296,0.029,0.782,0.038,0.551,0.039,2033.0
198,695.25,445.618,21.216,0.037,0.803,0.055,0.587,0.054,2034.0
199,747.853,445.852,20.975,0.03,0.797,0.043,0.571,0.038,2036.0
200,401.276,445.767,17.637,0.006,0.981,0.011,0.753,0.008,2037.0
201,590.199,446.009,21.104,0.036,1.745,0.053,1.3,0.069,2038.0
202,717.709,447.063,20.385,0.017,0.739,0.025,0.534,0.027,2039.0
203,755.067,447.754,20.296,0.016,0.701,0.03,0.498,0.02,2044.0
204,467.951,448.04,19.196,0.013,0.952,0.019,0.692,0.018,2048.0
205,499.966,448.144,16.729,0.023,0.326,0.068,0.084,0.03,2049.0
206,475.515,448.725,20.054,0.026,0.806,0.031,0.524,0.032,2051.0
207,526.56,449.125,20.011,0.035,0.616,0.046,0.534,0.044,2056.0
208,772.003,449.623,20.784,0.024,0.696,0.033,0.536,0.031,2057.0
209,510.812,449.694,21.273,0.035,0.83,0.058,0.739,0.058,2058.0
210,512.716,452.977,21.254,0.034,0.881,0.049,0.596,0.055,2059.0
211,688.033,452.194,21.58,0.124,0.735,0.154,0.107,0.141,2064.0
212,672.693,450.831,21.366,0.053,0.95,0.068,0.449,0.069,2065.0
213,719.949,451.739,20.134,0.012,0.723,0.022,0.526,0.02,2068.0
214,443.067,451.847,18.965,0.017,0.911,0.021,0.727,0.023,2070.0
215,459.972,452.694,21.436,0.071,1.068,0.082,0.842,0.107,2073.0
216,369.005,454.344,20.3,0.019,0.78,0.036,0.483,0.025,2077.0
217,432.933,454.14,20.439,0.068,0.816,0.11,0.519,0.092,2078.0
218,620.404,454.498,16.442,0.003,0.861,0.008,0.612,0.006,2079.0
219,378.411,454.589,18.036,0.008,0.953,0.013,0.713,0.011,2080.0
220,707.868,457.966,19.521,0.032,0.703,0.054,0.504,0.041,2081.0
221,606.35,456.421,19.727,0.02,0.691,0.039,0.491,0.025,2088.0
222,507.531,457.345,19.548,0.028,0.599,0.053,0.418,0.04,2092.0
223,417.101,457.298,20.539,0.026,0.736,0.044,0.505,0.038,2093.0
224,736.359,457.532,20.858,0.024,0.79,0.038,0.557,0.032,2095.0
225,715.186,458.773,19.145,0.009,0.821,0.016,0.58,0.012,2098.0
226,458.374,460.841,19.103,0.011,0.911,0.018,0.509,0.04,2100.0
227,452.305,464.344,20.111,0.055,0.616,0.064,0.489,0.087,2101.0
228,404.602,469.045,20.987,0.034,0.854,0.056,0.539,0.047,2102.0
229,401.624,470.698,21.052,0.045,0.929,0.062,0.509,0.062,2103.0
230,759.352,459.229,20.844,0.021,0.768,0.043,0.559,0.03,2104.0
231,725.399,459.333,19.344,0.006,0.903,0.014,0.649,0.009,2106.0
232,683.142,459.329,20.264,0.037,0.693,0.084,0.53,0.047,2107.0
233,668.542,459.505,19.779,0.026,0.691,0.034,0.548,0.031,2108.0
234,697.7,459.915,21.612,0.057,1.073,0.075,0.53,0.091,2110.0
235,526.238,463.424,19.827,0.015,0.76,0.02,0.487,0.018,2112.0
236,638.431,460.538,21.052,0.056,0.905,0.07,0.691,0.074,2115.0
237,662.164,461.033,18.355,0.033,0.836,0.053,0.724,0.041,2118.0
238,678.07,461.209,18.942,0.008,0.952,0.016,0.699,0.011,2119.0
239,688.911,461.695,20.285,0.031,0.643,0.043,0.546,0.043,2120.0
240,507.432,466.969,19.57,0.02,0.742,0.038,0.485,0.024,2121.0
241,390.352,461.906,19.612,0.014,0.806,0.021,0.537,0.019,2124.0
242,443.621,461.888,20.309,0.038,0.725,0.066,0.489,0.054,2125.0
243,511.262,462.364,18.036,0.008,0.865,0.013,0.761,0.015,2128.0
244,753.481,462.659,21.622,0.038,0.822,0.059,0.589,0.051,2129.0
245,703.918,465.954,16.45,0.005,0.502,0.009,0.219,0.007,2134.0
246,644.359,464.145,20.266,0.036,0.73,0.058,0.49,0.05,2135.0
247,728.2,464.32,21.073,0.027,0.777,0.045,0.616,0.038,2139.0
248,437.978,464.199,16.942,0.007,1.004,0.011,0.813,0.011,2140.0
249,766.662,464.715,19.642,0.024,0.745,0.028,0.577,0.025,2142.0
250,479.438,464.825,20.006,0.019,0.75,0.026,0.59,0.025,2143.0
251,498.002,465.677,19.909,0.023,0.813,0.03,0.516,0.03,2147.0
252,679.874,466.823,17.363,0.005,0.993,0.009,0.786,0.009,2150.0
253,465.734,466.853,21.066,0.052,0.92,0.067,0.457,0.069,2152.0
254,392.216,467.146,20.41,0.021,0.754,0.037,0.457,0.031,2154.0
255,754.379,467.802,20.434,0.019,0.786,0.031,0.502,0.022,2156.0
256,427.044,468.543,21.571,0.065,0.841,0.092,0.479,0.127,2160.0
257,652.097,468.519,20.175,0.029,0.766,0.058,0.551,0.045,2161.0
258,350.233,468.348,20.138,0.037,0.756,0.044,0.465,0.047,2162.0
259,657.604,469.064,21.025,0.04,0.902,0.054,0.608,0.059,2165.0
260,518.772,469.985,21.537,0.065,1.056,0.087,0.481,0.081,2168.0
261,515.398,470.926,21.401,0.074,0.92,0.097,0.335,0.097,2169.0
262,633.665,475.289,21.28,0.038,0.91,0.055,0.704,0.053,2177.0
263,686.513,472.291,19.011,0.009,0.93,0.013,0.692,0.017,2178.0
264,464.682,473.367,21.167,0.054,1.121,0.067,0.661,0.068,2179.0
265,745.945,472.889,20.928,0.076,0.561,0.092,0.313,0.168,2180.0
266,411.17,473.299,20.508,0.046,0.774,0.066,0.429,0.057,2181.0
267,653.177,473.53,19.555,0.024,0.734,0.035,0.529,0.031,2182.0
268,764.462,477.759,21.06,0.066,0.798,0.098,0.578,0.095,2183.0
269,576.157,474.218,18.703,0.01,0.972,0.021,0.696,0.015,2184.0
270,506.615,474.541,20.579,0.04,0.795,0.06,0.524,0.049,2187.0
271,507.7,478.746,20.6,0.029,0.796,0.046,0.505,0.038,2188.0
272,646.727,476.188,20.701,0.029,0.753,0.06,0.541,0.039,2189.0
273,657.983,475.786,20.602,0.031,0.858,0.039,0.545,0.039,2194.0
274,687.049,482.287,20.627,0.02,0.729,0.039,0.4,0.039,2200.0
275,598.26,477.344,19.558,0.017,0.858,0.024,0.542,0.025,2201.0
276,666.719,477.363,21.939,0.083,1.087,0.105,0.708,0.101,2202.0
277,627.135,478.088,20.358,0.041,0.809,0.049,0.555,0.067,2205.0
278,365.283,477.791,21.059,0.029,0.793,0.054,0.584,0.046,2206.0
279,420.55,477.883,21.364,0.068,1.066,0.1,0.929,0.114,2207.0
280,518.921,478.829,20.469,0.05,0.798,0.091,0.65,0.069,2213.0
281,479.756,478.962,20.09,0.058,0.687,0.092,0.485,0.081,2214.0
282,711.514,479.11,20.743,0.024,0.787,0.048,0.607,0.03,2216.0
283,720.971,479.542,19.869,0.013,0.771,0.018,0.52,0.015,2218.0
284,707.065,479.996,20.963,0.028,0.777,0.042,0.528,0.04,2221.0
285,593.457,480.135,16.745,0.003,0.3,0.009,0.141,0.004,2223.0
286,758.283,481.46,20.686,0.022,0.777,0.047,0.634,0.035,2228.0
287,660.051,481.468,20.795,0.038,0.825,0.049,0.642,0.051,2229.0
288,610.514,482.82,19.071,0.021,0.607,0.047,0.314,0.026,2233.0
289,490.115,483.462,18.561,0.021,0.758,0.036,0.549,0.032,2234.0
290,563.527,483.579,16.39,0.004,1.063,0.009,0.843,0.009,2235.0
291,390.991,483.582,21.858,0.079,1.232,0.099,0.616,0.136,2238.0
292,626.181,484.907,17.453,0.012,1.03,0.016,0.873,0.016,2244.0
293,644.054,485.211,20.793,0.02,0.705,0.033,0.498,0.03,2245.0
294,654.399,485.293,19.645,0.037,0.671,0.078,0.466,0.045,2247.0
295,709.288,485.501,21.586,0.062,0.841,0.098,0.572,0.077,2248.0
296,701.929,486.394,21.109,0.03,0.883,0.056,0.593,0.042,2252.0
297,469.928,486.395,21.936,0.091,1.205,0.112,1.06,0.197,2253.0
298,637.223,490.627,20.463,0.033,0.634,0.041,0.484,0.063,2254.0
299,717.72,487.038,19.646,0.008,0.765,0.017,0.559,0.011,2255.0
300,539.09,487.274,22.921,0.309,1.724,0.332,0.787,0.515,2256.0
301,650.726,488.315,18.594,0.013,0.905,0.016,0.706,0.023,2259.0
302,659.418,488.247,21.378,0.046,0.857,0.074,0.64,0.076,2260.0
303,363.361,488.226,18.803,0.012,0.909,0.021,0.692,0.017,2262.0
304,382.736,488.552,21.089,0.047,0.935,0.066,0.591,0.072,2265.0
305,353.456,488.992,20.9,0.047,0.954,0.054,0.504,0.058,2269.0
306,679.086,489.284,18.353,0.007,0.975,0.013,0.74,0.009,2270.0
307,374.782,489.408,20.302,0.025,0.764,0.045,0.47,0.032,2271.0
308,505.131,490.245,20.915,0.045,0.924,0.066,0.507,0.062,2275.0
309,665.01,491.396,21.811,0.071,0.963,0.09,0.774,0.117,2278.0
310,667.686,494.569,19.712,0.015,0.736,0.022,0.516,0.021,2279.0
311,452.002,494.325,19.187,0.01,0.911,0.014,0.722,0.016,2281.0
312,414.24,492.112,19.798,0.021,0.841,0.03,0.581,0.033,2284.0
313,510.536,492.573,19.558,0.02,0.736,0.03,0.591,0.029,2286.0
314,389.114,492.721,22.295,0.138,1.453,0.153,1.309,0.264,2287.0
315,587.886,492.937,16.974,0.005,1.049,0.009,0.902,0.008,2289.0
316,721.236,493.48,20.875,0.028,0.804,0.044,0.558,0.04,2291.0
317,714.352,494.184,19.46,0.014,0.729,0.024,0.563,0.021,2293.0
318,561.307,495.407,16.823,0.004,0.867,0.008,0.748,0.005,2299.0
319,366.739,495.729,21.386,0.05,0.903,0.082,0.584,0.066,2301.0
320,360.773,496.473,21.762,0.091,1.095,0.121,0.432,0.115,2305.0
321,441.758,496.919,20.778,0.029,0.865,0.065,0.626,0.052,2307.0
322,518.415,497.268,22.156,0.138,1.319,0.174,0.335,0.19,2311.0
323,718.228,497.738,21.227,0.031,0.876,0.047,0.513,0.04,2312.0
324,725.734,498.566,21.33,0.045,0.903,0.059,0.582,0.067,2318.0
325,461.167,498.568,19.481,0.017,0.978,0.021,0.61,0.029,2321.0
326,674.672,498.801,19.544,0.009,0.757,0.017,0.532,0.015,2322.0
327,409.574,498.965,19.62,0.024,0.848,0.036,0.515,0.029,2323.0
328,649.992,499.236,19.689,0.03,0.667,0.064,0.529,0.039,2326.0
329,400.057,499.111,20.52,0.038,0.852,0.049,0.452,0.057,2327.0
330,686.049,499.721,20.922,0.02,0.795,0.035,0.542,0.029,2329.0
331,734.702,499.807,20.043,0.015,0.778,0.023,0.479,0.019,2330.0
332,544.523,500.209,20.862,0.058,0.864,0.077,0.505,0.078,2336.0
