No,Xpos,Ypos,Vmag,V-I
403,303.11,578.92,21.728,3.218
404,449.94,579.03,20.327,2.92
405,69.26,579.67,20.981,3.313
406,400.71,583.74,22.993,3.035
407,782.13,585.18,21.656,2.773
408,365.47,586.74,20.192,3.09
409,101.19,588.68,20.721,3.182
410,355.96,588.79,21.413,3.025
411,411.81,590.36,19.61,3.171
412,592.29,591.82,21.247,2.675
413,563.63,592.4,22.621,3.171
414,81.32,592.85,19.813,3.228
415,501.6,593.26,20.126,3.103
416,145.63,594.71,21.721,2.896
417,456.37,595.62,19.869,3.052
418,232.22,596.71,22.162,2.693
419,394.96,597.07,20.027,2.801
420,504.07,601.94,19.636,2.992
421,297.58,602.97,21.313,2.325
422,896.36,603.93,21.86,2.796
423,151.94,604.41,19.243,3.315
424,293.24,607.17,21.003,3.036
425,210.01,607.71,23.131,2.989
426,218.7,608.86,22.079,3.036
427,156.55,609.04,20.572,3.039
428,135.09,610.3,20.447,3.014
429,514.21,610.96,20.627,3.266
430,354.95,612.12,20.745,3.09
431,709.88,613.78,20.152,4.571
432,187.9,615.37,19.455,3.239
433,276.3,616.77,21.16,3.294
434,985.58,618.14,21.132,3.253
435,47.98,618.33,21.301,3.254
436,762.55,618.99,20.923,3.158
437,528.81,620.41,20.464,2.955
438,555.4,623.45,19.731,3.365
439,463.22,624.41,20.292,2.87
440,660.63,624.99,23.224,2.75
441,684.77,626.63,20.131,3.15
442,751.98,627.82,17.205,2.456
443,340.43,628.81,20.249,2.936
444,797.84,628.87,21.084,3.48
445,472.13,630.89,21.133,2.702
446,848.79,631.52,18.786,2.234
447,481.27,632.22,22.694,3.133
448,116.02,632.23,21.842,3.126
449,71.71,632.66,21.472,3.098
450,297.68,635.88,20.132,3.079
451,467.21,636.24,20.325,2.94
452,555.43,638.68,19.03,3.996
453,776.92,640.53,19.525,4.292
454,427.52,641.68,20.219,2.872
455,572.46,643.31,21.157,3.226
456,384.88,643.4,20.249,2.91
457,408.76,643.98,19.685,3.078
458,745.43,644.5,20.592,3.127
459,471.39,644.62,20.384,2.985
460,362.8,645.71,21.936,2.849
461,668.84,645.76,22.187,2.94
462,299.24,646.01,20.795,3.035
463,685.23,646.42,20.89,3.284
464,769.93,646.47,21.421,3.536
465,339.91,650.08,21.759,2.921
466,647.16,651.3,20.773,3.245
467,800.96,651.81,22.252,3.239
468,140.13,651.81,20.938,2.617
469,330.87,652.57,19.848,2.906
470,767.29,654.95,22.63,3.367
471,911.96,657.57,22.659,3.397
472,639.38,658.71,20.455,3.145
473,357.1,659.36,21.58,2.809
474,262.25,659.68,20.704,3.038
475,214.53,659.96,20.212,2.877
476,954.12,660.07,21.596,3.094
477,455.58,660.17,20.275,2.909
478,622.14,660.7,18.995,3.333
479,606.04,661.97,22.316,2.665
480,246.44,664.05,19.574,2.394
481,494.3,668.5,20.46,3.027
482,171.1,672.41,20.752,3.092
483,679.42,672.71,21.174,3.219
484,269.38,673.28,20.21,2.874
485,697.59,673.33,21.173,3.024
486,140.76,673.56,22.193,2.862
487,934.04,673.74,21.668,3.387
488,572.83,674.3,20.913,3.069
489,660.18,676.14,20.235,2.891
490,581.47,676.93,22.145,3.039
491,818.76,678.37,19.787,1.906
492,549.67,678.66,18.237,2.193
493,55.04,679.3,20.922,2.878
494,514.37,679.81,20.491,3.105
495,779.21,682.42,21.413,3.159
496,123.95,687.11,21.249,3.114
497,613.82,689.71,20.306,3.495
498,380.48,689.82,21.252,2.859
499,860.38,692.62,20.432,2.953
500,592.95,694.43,20.732,3.225
501,327.61,696.8,20.765,3.115
502,249.58,696.89,21.156,2.543
503,616.73,697.47,21.643,3.255
504,918.44,699.83,20.4,4.75
505,730.33,702.5,21.535,3.379
506,722.63,703.17,20.332,3.068
507,440.88,705.11,21.6,3.13
508,534.99,705.88,19.393,3.1
509,485.62,706.39,20.821,2.364
510,892.48,709.13,22.469,3.172
511,711.99,710.41,21.506,3.276
512,102.18,713.5,22.016,3.065
513,959.0,714.5,21.66,3.342
514,580.44,715.85,15.508,1.053
515,516.53,717.3,20.672,3.195
516,781.17,717.75,20.782,3.105
517,684.71,718.25,19.486,3.351
518,873.99,720.54,19.744,3.363
519,841.76,720.66,16.12,1.105
520,823.62,721.14,19.055,3.63
521,789.6,721.94,20.676,3.192
522,616.86,723.29,20.759,3.071
523,548.78,723.32,20.134,2.872
524,24.81,723.8,20.154,2.241
525,814.07,726.24,22.284,2.448
526,432.13,726.67,20.244,2.891
527,34.3,727.74,21.937,2.859
528,289.68,729.24,19.936,2.861
529,123.52,729.46,21.561,3.095
530,268.53,730.97,19.862,2.832
531,363.54,731.11,22.017,2.49
532,584.33,731.67,19.965,2.893
533,675.0,733.53,20.641,3.125
534,357.79,737.28,20.07,3.096
535,349.31,737.81,20.007,2.888
536,36.21,738.37,21.466,3.179
537,391.73,738.66,18.66,3.834
538,508.07,739.63,21.846,3.001
539,465.53,740.86,19.865,3.135
540,105.03,741.1,20.558,3.069
541,414.02,742.23,22.744,2.732
542,533.51,744.11,21.542,2.931
543,877.04,744.77,19.89,3.124
544,910.59,745.58,22.295,3.026
545,437.23,748.03,20.682,3.519
546,699.16,749.78,23.509,2.976
547,200.18,749.97,17.501,1.717
548,339.54,750.28,23.048,2.913
549,446.42,750.4,19.829,2.073
550,479.37,750.93,20.982,3.066
551,898.08,753.0,21.904,3.074
552,728.84,753.37,20.847,3.114
553,782.98,754.82,17.423,1.369
554,210.35,756.8,21.411,2.678
555,40.36,757.55,21.529,2.912
556,570.64,757.8,20.588,3.017
557,666.31,759.83,20.354,3.077
558,512.79,760.56,20.246,3.153
559,242.79,760.67,20.468,2.117
560,573.05,765.05,20.239,2.906
561,859.64,765.2,22.299,3.052
562,788.34,765.43,20.315,2.989
563,645.77,767.57,21.696,2.614
564,75.93,767.62,20.252,2.978
565,335.43,770.44,19.953,3.023
566,171.78,771.83,16.633,1.33
567,988.24,773.86,22.827,2.868
568,712.35,774.83,16.821,2.54
569,429.16,775.25,20.645,3.191
570,111.28,775.6,19.493,1.746
571,75.18,778.25,20.021,3.225
572,280.5,778.82,20.489,3.009
573,415.47,780.53,20.267,4.157
574,335.67,782.01,20.588,2.997
575,547.6,783.11,18.433,3.25
576,758.69,788.41,22.025,2.543
577,196.3,789.23,17.94,3.555
578,585.1,790.5,21.372,2.816
579,700.75,794.66,20.654,2.269
580,431.36,794.95,21.079,3.05
581,333.62,795.0,20.385,2.081
